CBO before,CBO after,,WMC before,WMC after,,DIT before,DIT after,,NOC before,NOC after,,LCOM5 before,LCOM5 after,,CC before,CC after,,loc before,loc after,,LLOC before,LLOC after,,RFC before,RFC after,,CLOC before,CLOC after,,NOA before,NOA after,,NPM before,NPM after
4,1,,17,4,,4,5,,5,1,,1,0,,1,0,,13,3,,9,3,,26,4,,0,7,,4,5,,10,10
4,1,,17,14,,4,5,,5,5,,1,3,,1,0,,13,3,,9,3,,26,9,,0,7,,4,5,,10,10
4,1,,17,4,,4,5,,5,1,,1,0,,1,0,,13,3,,9,3,,26,4,,0,7,,4,5,,10,10
4,1,,17,14,,4,5,,5,5,,1,3,,1,0,,13,4,,9,4,,26,9,,0,0,,4,5,,10,10
4,2,,17,10,,4,5,,5,1,,1,1,,1,0,,13,4,,9,4,,26,7,,0,0,,4,5,,10,12
4,1,,17,4,,4,5,,5,1,,1,0,,1,0,,13,4,,9,4,,26,4,,0,0,,4,5,,10,10
4,1,,17,10,,4,5,,5,1,,1,1,,1,0,,13,4,,9,4,,26,6,,0,0,,4,5,,10,12
4,2,,17,7,,4,5,,5,1,,1,1,,1,0,,13,7,,9,6,,26,9,,0,0,,4,5,,10,12
4,1,,17,14,,4,5,,5,6,,1,3,,1,0,,13,7,,9,6,,26,9,,0,0,,4,5,,10,10
4,1,,17,14,,4,5,,5,5,,1,3,,1,0,,13,7,,9,6,,26,9,,0,0,,4,5,,10,10
4,1,,17,4,,4,5,,5,1,,1,0,,1,0,,13,7,,9,6,,26,4,,0,0,,4,5,,10,10
4,1,,17,4,,4,5,,5,1,,1,0,,1,0,,10,3,,8,3,,26,4,,0,7,,4,5,,10,10
4,1,,17,14,,4,5,,5,5,,1,3,,1,0,,10,3,,8,3,,26,9,,0,7,,4,5,,10,10
4,1,,17,4,,4,5,,5,1,,1,0,,1,0,,10,3,,8,3,,26,4,,0,7,,4,5,,10,10
4,1,,17,14,,4,5,,5,5,,1,3,,1,0,,10,3,,8,3,,26,9,,0,7,,4,5,,10,10
4,2,,17,10,,4,5,,2,1,,1,1,,1,0,,10,4,,8,4,,26,7,,0,0,,4,5,,10,12
4,1,,17,4,,4,5,,2,1,,1,0,,1,0,,10,4,,8,4,,26,4,,0,0,,4,5,,10,10
4,1,,17,10,,4,5,,2,1,,1,1,,1,0,,10,4,,8,4,,26,6,,0,0,,4,5,,10,12
4,2,,17,7,,4,5,,2,1,,1,1,,1,0,,10,4,,8,4,,26,9,,0,0,,4,5,,10,12
4,1,,17,14,,4,5,,2,6,,1,3,,1,0,,10,7,,8,6,,26,9,,0,0,,4,5,,10,10
4,1,,17,14,,4,5,,2,5,,1,3,,1,0,,10,7,,8,6,,26,9,,0,0,,4,5,,10,10
4,1,,17,4,,4,5,,2,1,,1,0,,1,0,,10,7,,8,6,,26,4,,0,0,,4,5,,10,10
4,1,,17,4,,4,5,,2,1,,1,0,,1,0,,10,7,,8,6,,26,4,,0,0,,4,5,,10,10
4,1,,17,14,,4,5,,2,5,,1,3,,1,0,,10,3,,8,3,,26,9,,0,7,,4,5,,10,10
4,1,,17,4,,4,5,,2,1,,1,0,,1,0,,10,3,,8,3,,26,4,,0,7,,4,5,,10,10
4,1,,17,14,,4,5,,2,5,,1,3,,1,0,,10,3,,8,3,,26,9,,0,7,,4,5,,10,10
4,2,,17,10,,4,5,,2,1,,1,1,,1,0,,10,3,,8,3,,26,7,,0,7,,4,5,,10,12
4,1,,17,4,,4,5,,2,1,,1,0,,1,0,,10,4,,8,4,,26,4,,0,0,,4,5,,10,10
4,1,,17,10,,4,5,,2,1,,1,1,,1,0,,10,4,,8,4,,26,6,,0,0,,4,5,,10,12
4,2,,17,7,,4,5,,2,1,,1,1,,1,0,,10,4,,8,4,,26,9,,0,0,,4,5,,10,12
4,1,,17,14,,4,5,,2,6,,1,3,,1,0,,10,4,,8,4,,26,9,,0,0,,4,5,,10,10
4,1,,17,14,,4,5,,2,5,,1,3,,1,0,,10,7,,8,6,,26,9,,0,0,,4,5,,10,10
4,1,,17,4,,4,5,,2,1,,1,0,,1,0,,10,7,,8,6,,26,4,,0,0,,4,5,,10,10
4,1,,17,4,,4,5,,2,1,,1,0,,1,0,,10,7,,8,6,,26,4,,0,0,,4,5,,10,10
4,1,,17,14,,4,5,,2,5,,1,3,,1,0,,10,7,,8,6,,26,9,,0,0,,4,5,,10,10
4,1,,17,4,,4,5,,2,1,,1,0,,0,0,,6,22,,5,12,,26,4,,3,14,,4,5,,10,10
4,1,,17,14,,4,5,,2,5,,1,3,,0,0,,6,35,,5,28,,26,9,,3,15,,4,5,,10,10
4,2,,17,10,,4,5,,2,1,,1,1,,0,0,,6,55,,5,45,,26,7,,3,21,,4,5,,10,12
4,1,,17,4,,4,5,,2,1,,1,0,,0,0,,6,17,,5,14,,26,4,,3,16,,4,5,,10,10
4,1,,17,10,,4,5,,2,1,,1,1,,0,0,,11,22,,10,12,,26,6,,3,14,,4,5,,10,12
4,2,,17,7,,4,5,,2,1,,1,1,,0,0,,11,35,,10,28,,26,9,,3,15,,4,5,,10,12
4,1,,17,14,,4,5,,2,6,,1,3,,0,0,,11,55,,10,45,,26,9,,3,21,,4,5,,10,10
4,1,,17,14,,4,5,,2,5,,1,3,,0,0,,11,17,,10,14,,26,9,,3,16,,4,5,,10,10
4,1,,17,4,,4,5,,2,1,,1,0,,0,0,,6,22,,5,12,,26,4,,3,14,,4,5,,10,10
4,1,,17,4,,4,5,,2,1,,1,0,,0,0,,6,35,,5,28,,26,4,,3,15,,4,5,,10,10
4,1,,17,14,,4,5,,2,5,,1,3,,0,0,,6,55,,5,45,,26,9,,3,21,,4,5,,10,10
4,1,,17,4,,4,5,,2,1,,1,0,,0,0,,6,17,,5,14,,26,4,,3,16,,4,5,,10,10
4,1,,17,14,,4,5,,2,5,,1,3,,0,0,,4,22,,4,12,,26,9,,3,14,,4,5,,10,10
4,2,,17,10,,4,5,,2,1,,1,1,,0,0,,4,35,,4,28,,26,7,,3,15,,4,5,,10,12
4,1,,17,4,,4,5,,2,1,,1,0,,0,0,,4,55,,4,45,,26,4,,3,21,,4,5,,10,10
4,1,,17,10,,4,5,,2,1,,1,1,,0,0,,4,17,,4,14,,26,6,,3,16,,4,5,,10,12
4,2,,17,7,,4,5,,2,1,,1,1,,0,0,,39,5,,34,5,,26,9,,2,0,,4,5,,10,12
4,1,,17,14,,4,5,,2,6,,1,3,,0,0,,39,18,,34,17,,26,9,,2,0,,4,5,,10,10
